"dti","annual_inc","revol_util","delinq_2yrs","loan_amnt"
11.21,70000,15.3,0,6400
21.12,35000,53.5,0,20000
28.52,30000,54.5,0,6500
20.4,60000,37.5,0,3000
30.24,70000,64.9,0,8500
20.16,60000,43.4,0,16000
22.53,22000,24.3,0,7000
19.25,52000,64.6,0,4400
14.91,26000,30.7,1,5500
28.72,27500,44.1,0,6000
13.16,65000,20.2,0,2000
20,54000,25.4,0,20000
25.44,55000,31.4,0,3000
22.25,38400,44.9,0,12000
29.52,32000,40.2,0,4000
12.11,65000,10.1,0,5000
10.63,55000,47.3,2,6400
16.14,60000,56,0,20000
18.2,66000,32.1,1,16000
23.18,54000,94.9,1,23000
5.72,44244,40.5,0,1500
11.07,41000,46.5,0,15000
19.99,55000,63,0,10000
29.88,60043,66.2,0,16000
4.42,38000,3.6,0,15000
8.37,56500,26.6,0,14000
11.32,60000,74.2,0,10000
5.45,35000,4.5,0,5000
23.02,56511,19.7,0,3500
26.4,57000,26.3,0,14000
13.33,55000,28.4,0,10500
7.48,30000,36.5,0,8000
0.6,50000,0.3,0,35000
17.52,40000,75.1,0,2500
29.61,40000,34.2,0,3000
21.2,60000,27.7,0,20000
12.79,50000,50.9,0,20000
20.12,60000,27.4,0,18000
31.75,48500,41.4,0,10000
16.1,58000,75.9,0,8825
3.69,39996,61.2,0,6000
8.78,21996,33.3,0,7475
24.74,57000,68.2,0,12000
23.06,69000,69.8,0,27000
20.75,65000,20.5,0,6000
27.47,56400,86.8,0,33600
15.81,40000,50.1,0,10000
21,65500,49.1,0,5600
11.98,60000,98.4,0,31000
26.51,65000,51.6,1,10000
23.07,32000,97.9,0,15000
18.77,45000,67.6,0,16500
9.66,60000,46.3,0,20000
16.03,67000,19,1,2000
27.46,67000,89,0,8200
5.26,60000,11.9,0,7200
28.62,30992,13.1,0,8000
10.63,56000,29.9,1,2500
19.48,70000,27.5,1,25000
28.24,43000,91.7,0,28800
11.36,56000,62.6,1,24000
14.52,70000,61.4,0,11000
27.94,31992,12.5,0,12000
18.68,60000,54.9,0,12000
11.52,60000,56.7,0,16000
20.66,70000,41.9,0,20000
25.25,28000,18.7,0,18000
32.93,25000,10.2,0,4800
18.36,34000,40.1,0,8000
9.65,52000,39.2,0,10000
29.08,60000,74,1,10000
18.84,60000,19.7,0,12000
33,62000,11.3,0,10000
8.66,51000,57.4,0,8000
2.54,70000,46.8,0,10000
14.6,36000,43.8,0,6000
10.78,65000,59.7,0,5000
24.89,61000,5.8,0,20000
2.61,28000,7.8,0,8000
24.29,62000,37.6,0,3000
21.62,65000,73.5,0,8500
19,47174,13.3,0,4000
14.16,65000,86.3,0,21000
11.73,54000,26.9,0,5000
24.05,56000,26.3,0,10000
13,18000,65.5,0,5100
8.88,15000,11.8,0,3500
31.85,65000,26.1,0,12000
16.58,37500,9.1,0,20000
29.03,53000,50.4,0,10000
20.36,31000,26.6,0,12000
12.81,40000,0,0,30000
22.96,45000,14.8,0,30000
22.04,20800,14.5,0,4000
9.05,50000,9.8,0,10000
7.52,23000,55.7,1,2000
11.73,36000,30,0,2300
12.86,70000,28.6,0,10000
17.91,50000,59.5,1,15000
7.5,68000,90.5,0,6000
15.34,68000,20.8,0,5000
24.4,60000,40.4,0,25000
0,0,0,0,15000
25.7,65000,17.8,1,15000
20.12,30000,44.7,0,7000
20.08,30000,23.8,0,2500
8.62,60000,65.2,0,10000
26.37,35000,40.5,0,14000
32.6,30000,64.3,0,12000
15.79,44000,74.2,0,1000
20.3,35000,40.8,0,5000
18.95,39000,11.5,0,5000
9.33,19416,52.2,0,2500
29.76,40000,68.6,0,13400
3.21,28000,63,0,2300
17.44,17000,30.3,0,10000
25.57,55000,22.7,0,20000
19.8,48000,64.2,0,8500
14.17,68500,40.7,0,10000
18.3,61000,58.4,0,15000
20.86,55000,48.3,0,30000
5.8,60000,39.4,0,6000
7,35000,30.1,0,5000
6.53,18000,37,0,5000
11.25,45000,66,0,10000
25.62,32000,28.6,0,15000
15.72,65000,23.9,0,40000
27.45,70000,32,0,10000
16.64,30000,1.7,0,2700
14.75,24000,30.6,0,16000
22.01,41600,60.7,0,7500
1.65,35000,6.8,0,6000
13.9,50000,23.5,1,15000
20.75,52000,82,1,18000
18.71,33600,64.2,0,20000
14.94,65000,38.5,0,33000
17.21,58000,73.9,0,16000
24.07,70000,40.6,0,18000
16.63,70000,50.4,0,35500
26.56,40476,54.3,0,10000
10.58,38000,84,0,10000
14.84,60000,14,0,1500
17.36,45000,37.4,0,15600
9.52,30000,24.4,0,32000
24.72,30000,68,0,4000
15.67,50000,17.4,0,8000
12.54,53600,51.9,0,12000
10.06,42000,6.5,0,10300
28.01,70000,73.6,1,8000
31.37,36000,38,0,9000
5.42,35000,69.1,0,2750
16.71,65000,61.5,0,15000
12.95,48000,95.3,0,8000
3.12,40000,85.2,0,3500
20.71,55000,56.8,0,14000
2.01,53160,14.2,0,20000
10.27,62513,45.8,0,16000
17.73,44000,46.2,1,11000
14.86,68000,73,0,6800
13.48,65000,39.1,0,14000
19.14,62000,24.2,0,10000
3.28,45000,37.5,0,10000
22.28,52571,82.8,0,18000
32.87,60000,80,2,20000
10.13,55000,26,0,10500
17.29,51000,77.8,0,25000
29.24,25000,51,0,7000
11.69,58000,31.1,0,15000
25.7,30000,58.9,0,15000
17.24,43500,90.6,0,12500
24.76,70000,37,0,10000
3.09,56000,48.3,0,5850
32.41,51846,56.6,0,26000
24.39,22000,20.4,0,4000
25.2,65000,47.5,0,15000
14.71,34992,45.6,0,10000
29.93,50000,81.9,0,10000
14.65,48000,52.5,0,15000
27.99,20500,18.6,0,10000
12,50000,30.9,0,5500
18.03,50000,51.9,0,20000
20.05,42498,65.9,0,5000
22.39,41000,24,0,5000
15.86,70000,23.3,0,3200
6.05,50000,41.3,0,10000
27.02,10836,6,0,7500
15.72,49992,28.2,0,15000
25.75,52000,57.7,0,16000
22.29,38220,34.8,0,3300
27.42,40000,33.2,0,10000
4.26,52400,4.2,0,1600
25.55,65300,70.2,0,16500
27.89,29129,54.3,0,6000
25.05,69800,88.1,0,2000
28.14,33734,77.9,0,10000
19.84,30793,54.4,0,5000
17.61,61400,59.1,0,5000
19.02,52000,24.1,0,16000
15.76,52000,99.7,0,13000
5.38,18300,9.9,0,9125
20.05,58000,77.5,1,10000
10.73,70000,10.1,1,12000
29.28,60000,67.3,0,15000
23.59,35000,9.9,0,4000
10.65,14880,94.4,0,8000
7.57,56000,41.6,0,12000
16.06,55000,6.9,0,10000
32.52,48500,49.5,0,7200
23.44,55000,12.7,1,5000
1.94,70000,25.2,0,16000
27.49,41000,62.3,0,3500
24.07,70000,63.7,0,10000
10.95,18528,59,0,6025
22.32,55000,27.9,0,9100
2.68,21500,34,0,8000
15.21,58000,70.3,0,21600
26.51,35000,28.5,0,5000
32.73,40000,33.2,0,6000
12.34,51133,43.8,0,20000
14.84,33000,49,0,15700
28.61,44000,23,0,10000
23.86,50000,68.7,0,10000
24.75,40000,25.5,0,2500
8.81,59000,51.3,0,11250
28.84,63000,32.8,0,15000
15.71,64000,25.1,0,25000
10.44,50000,58.4,0,10000
21.76,69000,56.1,1,16000
4.86,20000,18.5,0,4000
20.49,65000,26.9,0,7800
20.1,63659.88,9.3,0,18000
30.59,53000,74.7,0,27000
22.42,31000,22.8,0,4000
25.48,53000,22.4,0,18000
5.89,54000,35.7,0,10000
7.65,56000,62.2,1,10000
14.59,52000,42.5,0,15000
13.74,40000,9.8,0,10000
29.35,33000,27.3,0,4800
18.36,52286,85.8,0,17000
11.76,50000,12.1,0,3025
10.25,50000,20.7,0,28000
23.47,18000,50,0,11000
27.24,60000,77.1,0,12000
13.03,66500,45.5,0,30000
14.7,40000,38.6,0,4000
21.66,38400,26.2,0,6000
30.72,19764,65.7,0,6000
5.33,27000,24.6,0,5000
24.72,25000,20.2,0,6000
9.81,40000,77.1,0,10000
28.49,58000,59.6,0,10500
12.48,25000,33.2,0,4800
23.35,33865.68,7.3,0,3500
31.69,62000,70.2,0,10000
32.79,68000,24.8,0,18000
20.13,36000,28.5,0,12000
18.54,42000,72.9,0,2500
19.65,45000,40.2,0,6000
8,39000,3.7,0,7500
19.08,58000,45.6,0,10000
17.66,60000,30.3,0,6000
28.59,45000,23.2,0,5500
18.87,25000,32,0,5200
18.07,58000,34.9,0,40000
9.53,35000,64.1,0,5000
10.24,25200,34.9,0,10000
32.74,34000,7.2,0,3500
16.61,70000,58.1,0,15000
7.28,60000,26.8,0,2000
20.61,58000,65.4,0,10000
31.91,55000,43.4,0,6000
18.86,60000,78.8,0,21000
27.23,45000,53.5,0,12000
18.34,50000,29.1,2,6000
18.21,28800,53.2,1,1400
15.22,38000,1.2,0,14000
27.91,42000,31,1,6500
9.18,68000,49,0,15000
12.66,64000,33,0,9500
2.78,60000,29.1,0,6025
14.31,42000,89.1,0,13000
23.09,50000,41.6,0,15000
6.18,56000,79.8,0,10000
24.49,61000,44.8,1,10000
19.52,60000,26.2,0,10000
18.9,60000,82.5,0,28000
3.42,27000,4.8,0,1900
18.26,60000,15,0,3000
0.56,54000,74,0,5000
2.73,29000,17.2,0,6000
5.05,39000,74.4,0,3000
29.06,65000,14.1,0,23000
31.2,44532,23.4,0,10000
2.38,55008,64.6,0,8000
17.57,45000,28.2,0,15000
10.97,22000,25.4,0,5000
18.5,41000,15.7,0,3200
24.28,57200,84.1,0,35000
20.62,58661,60.1,0,20000
11.72,59000,80.5,1,6000
28.66,32000,18.4,0,6500
18.48,63500,70.3,0,19800
23.86,38000,59.9,0,11000
16.66,61000,73.2,0,19500
24.56,58000,11.5,0,40000
15.41,48000,61.8,0,20000
12.72,45000,59.2,0,15000
20.16,13272,25.4,2,13000
9.81,64000,5.6,0,8000
12.05,70000,14.1,0,40000
23.7,35000,93.2,0,8000
31.41,40000,25.6,0,2000
25.98,56000,67.7,0,5000
13.63,36000,8.1,1,4800
4.95,32000,34.9,1,5000
8.07,40000,0,0,1000
13.84,45000,26.8,0,10000
14.67,32000,15.6,0,10000
8.9,60000,52.6,0,25500
14.26,50000,30.4,0,8000
20.78,60000,16.3,0,4625
25.69,35000,11.6,0,4500
28.19,30400,71.2,1,10000
13.77,65000,48,0,24000
4.9,36000,59.7,0,14000
10.63,50000,15.9,0,24000
5.01,52000,6.8,1,2000
27.16,57000,44.8,0,28000
12.74,60000,27.1,0,5000
14.52,40000,64.9,0,20000
4.12,36400,72.4,0,10000
5.06,40800,25.3,0,6000
20.28,63856,37.7,0,23000
4.5,50000,26.1,0,6000
12.41,56000,42.9,0,19000
25.83,36000,73.6,0,14000
24.37,46000,7.2,0,10000
5.49,66080,9.3,0,3600
22.22,56000,24.6,0,15000
16.34,21000,23.5,1,5000
14.54,51000,13,0,8800
28.03,37500,33.8,0,12800
15.6,37000,16,0,6550
26.7,65000,19,0,25000
26.74,50000,53.8,0,8000
12.49,52000,84.7,0,9350
8.01,32500,24.2,0,5000
4.49,55000,21,0,7500
26.9,44654.23,15.2,0,30000
21.69,40000,39.4,0,30000
11.55,16000,37.9,0,4000
27.89,45000,23,0,10000
24.07,32000,45.6,0,8000
22.26,70000,13.4,0,10000
21.38,65000,7.6,0,7000
5.21,62000,30.6,0,12800
9.32,47000,13.6,0,4400
25.31,45000,38.6,0,10000
17.16,44000,35.1,0,15000
6.29,28600,18.2,0,1800
21.86,41500,50.9,0,4150
21.18,64000,40.3,0,13500
26.25,40000,30.6,0,12000
13.78,27000,37.4,0,12000
19.7,65000,59.8,0,16000
15.23,48000,0.6,0,1500
19.38,38400,11.8,0,3300
2.87,65000,24.6,0,35000
32.97,68690,94,0,7000
21.75,66000,60.2,0,21000
18.52,55000,14.9,0,4000
26.36,60000,24.9,1,33350
9.75,55000,21.9,1,25000
5.98,36000,29.1,0,4000
10.25,35000,11.3,0,10000
30.22,70000,96.4,0,10000
20.07,36000,12.7,0,11000
21.27,65000,19.4,0,10000
19.28,65000,39.7,0,3600
18.32,52000,23.2,0,8000
27.94,43000,76.4,0,16000
7.72,62000,29.3,0,12000
10.5,52000,72.3,0,13500
14.52,32000,37.1,1,10000
20.33,70000,34.5,1,3500
32.11,16410,93.3,0,11000
28.39,70000,73.1,0,40000
30.58,60000,36.9,0,40000
23.04,50000,43,0,6000
21.62,56000,49.8,0,28000
31.86,55000,82.9,0,18000
6.1,50000,50.3,0,32000
28.4,63000,17.3,0,20000
6.43,45000,79.2,1,8000
3.82,50000,12,0,30000
13.53,49500,55.4,0,11000
25.58,51000,40.9,0,9500
11.6,45000,48.9,0,20000
17.46,55000,74.1,0,15000
6.13,45000,7.8,0,5000
19.63,39141,47.1,0,15000
26.47,36000,31.3,0,11400
31.31,64000,39.2,0,19550
18.56,54500,5.9,0,11250
23.12,45000,6.6,0,3600
22.61,64480,27.6,0,20000
22.05,45000,36.8,0,6000
8.45,39500,87,0,12000
22.14,51000,87.9,0,27000
11.69,31200,30.2,0,6000
15.4,66700,64.4,0,16000
23.53,36000,42,0,12500
11.62,41000,36.3,0,5000
1.83,65000,11.5,0,19000
17.64,26000,54.1,0,8500
20.29,63000,25.5,1,4000
12.3,61000,40.1,0,27000
18.13,38000,25.8,0,2000
30.02,55000,30.2,1,16000
3.39,40320,26.3,1,2000
29.03,58000,72,0,23000
23.38,26000,23.4,0,8800
15.46,25000,24.6,1,3000
24.07,66000,56.5,0,15000
6.39,70000,89.6,0,12000
14.58,47500,42.9,0,20000
28.2,60000,75.7,1,15000
30.53,36000,41.3,0,11000
3.18,42000,25.5,0,12000
26.28,39000,56.5,2,10000
14.61,35000,29.2,0,7000
26.84,27000,35.6,0,8000
15.16,30000,96,0,3000
4.86,65000,26.9,0,25000
11.67,70000,22.8,0,15000
14.11,70000,53.3,0,15000
12.65,46000,31.3,0,10000
25.55,35000,82.8,0,2000
0,14600,0,0,5000
21.43,55000,68.9,0,9000
10.88,47000,27.2,0,6600
25.06,65000,37.7,0,15000
27.72,31000,44.2,0,10000
28.83,45000,19.4,0,4000
20.23,57000,5.3,0,20000
23.8,65000,42.4,1,32000
21.28,30000,72.5,1,2400
20.74,50000,14.4,0,14500
26.75,44720,82.7,0,24000
17.21,53793,87.2,0,20000
30.16,45000,92.7,0,40000
9.02,54000,20.7,0,25000
18.56,65000,49.1,0,34425
20.58,47000,80.6,0,5000
11.19,55000,25.7,0,18500
18.04,35000,26.4,0,7500
31.29,64200,11.3,0,18975
28.11,64000,49.3,0,24000
28.65,40000,30.9,0,5500
21.31,45000,37.8,0,2000
22.87,34000,46.2,0,7500
14.55,65000,40.1,0,19000
27.18,56000,86.1,0,10000
11.81,38000,68.3,1,3000
23.5,57000,33.4,0,10000
26.76,50000,13.1,0,6000
17.37,70000,30,0,21500
25.73,52000,25.9,0,18400
6.8,42000,50.3,1,10125
29.73,28000,33,0,6500
28.19,23000,31.1,0,9000
10.92,35000,37.3,0,3500
25.14,37000,78.5,0,12000
18.39,22000,25.1,0,10000
10.66,65000,43.7,0,12000
23.66,28000,87.2,0,1000
12.4,60000,1.2,0,23000
22.4,36000,36,0,7000
31.44,55000,14.8,0,8000
5.98,65000,33.7,0,10200
31.59,40000,6.5,0,10000
25.14,33280,72.4,0,36000
12.39,49000,0,0,11000
27.23,54850,22.6,0,21575
17.24,37440,19.2,0,10000
31.73,36000,36.3,0,10000
25.74,40000,17.9,0,7500
11.87,17896,37.1,0,6025
9.18,50000,13.9,0,20000
18.52,46000,17.9,0,11000
19.12,68000,34.4,2,5000
30.51,66000,46.8,0,37000
30.98,35000,17.6,0,40000
14.55,40000,50,0,20000
21.53,38400,27.6,0,20000
25.93,36000,33.7,5,8500
1.87,18000,22.6,0,2000
21.86,60000,56.6,0,5000
11.17,65000,29.1,1,14000
19.85,66000,99.3,0,11500
8.63,36000,3.9,0,10000
2.28,58000,15.5,0,10000
12.55,46000,28,0,15000
18.8,45000,71.5,0,16500
14.96,45000,56.6,5,3900
13.59,65000,15.4,1,20000
17.58,25000,36,0,6000
13.96,60000,69.1,0,18000
19.07,54000,52.8,0,4000
17.56,35000,26.5,0,3000
11.56,68000,8.1,0,14000
23.32,15900,95,0,4750
29.82,46000,28.9,0,10000
19.27,35000,17,0,12600
22.34,52000,26,0,10000
26.91,45000,11.8,0,12800
27.37,47268,49.1,0,22375
17.63,62000,95.2,0,18000
16.14,65000,38,0,32000
9.37,52000,21.2,1,10000
7.51,50000,27.6,0,8000
9.5,42000,57.2,0,2000
2.16,30000,12.3,0,1000
26.68,60000,47.8,0,10000
13.35,50000,42.1,0,7500
10.35,50000,31.3,0,18000
31.16,55000,27.6,0,10000
24.66,22380,11.1,0,9000
9.04,17000,22.3,0,20000
13.36,60000,38,0,30000
14.45,43000,2.1,0,2000
29.26,21000,35.2,1,7000
29.76,60000,68.3,0,6000
29.56,35000,49.3,0,10000
16.45,65000,33.3,0,9600
28.38,46100,0.1,0,16000
27.1,65500,39.9,1,6500
29.03,48000,22.9,0,12000
7.56,60000,46.5,0,20000
23.2,30000,12.8,0,3600
13.57,45000,41.1,1,8500
14.99,35000,23.5,0,2500
14.79,59333,64.2,0,25575
17.52,55000,9.6,0,5000
18.58,57340,40.7,2,20000
32.09,65000,59.6,1,19000
18.13,20000,35.5,0,8000
22.76,50000,62.4,1,8000
5.9,36000,47.5,0,5000
13.27,52000,26.3,0,18000
15.32,46500,42.3,0,10000
9.99,50000,17.2,1,12000
13.11,42000,31.1,0,36000
13.77,55000,21.8,2,4000
20.32,41000,20.5,0,5000
7.88,65000,5.9,0,8000
21.69,52000,0.1,0,15000
22.96,60000,70.1,0,15000
5.52,29000,40.6,1,4000
21.84,69000,26.1,0,12000
20.4,56883,37.6,1,4200
9.57,40000,44.8,0,10000
21.04,43241.77,57.3,0,14000
19.91,36000,23.3,0,6500
21.11,53000,55.8,1,5000
12.6,60000,25,0,12000
25.77,40000,58,0,6000
13.56,40000,33,0,7500
25.09,38021,79.5,1,6000
15.41,25000,49.4,0,5000
19.32,40000,2.1,0,11200
24.66,52000,21.6,2,1000
29.42,43600,63.3,1,15000
23.78,26000,49,0,4000
29.29,62000,46.1,1,12000
6.66,53000,23.8,0,7000
7.68,70000,31.1,0,12000
20.63,52000,33.1,0,10000
18.33,55000,0.3,0,12000
32.81,67000,69,0,18000
16.8,45000,35.1,2,10000
30.24,66700,34.3,0,32000
21.47,53000,36.6,0,18000
32.13,40000,56.2,0,6000
23.59,20000,29.5,0,10000
17.11,42000,38.7,0,6500
23.69,54000,75.2,0,16000
26.93,63000,6.5,0,6000
17.81,45000,49,0,20000
12.44,38000,13.9,0,6500
1.4,30000,42.2,0,1000
23.76,30000,56.3,0,8500
7.35,24000,35.9,1,10000
12.12,53000,70,0,6000
5.19,64000,76.8,0,2750
26.75,51000,16.6,0,1000
27.91,67000,14.8,0,10000
10.02,55000,12.8,0,13000
17.39,40000,76.9,0,17000
22.82,70000,80.2,0,10000
22.61,69000,57.9,0,25500
29.66,56000,57.1,0,10000
19.97,55000,54.8,0,21000
24,34000,47.2,0,19200
10.8,25000,43.6,0,24000
14.97,36000,5.8,0,5000
30.32,15000,10.9,0,4500
20.45,70000,66.5,2,10000
30.96,51000,36.3,0,8000
15.42,64000,30,1,40000
27.39,41880,78.3,0,10000
1.08,52000,24.7,0,15000
25.17,14400,24.7,1,6050
17.9,36600,32,0,7000
1,42000,0.2,0,35000
22.35,47691,13.1,0,10000
30.03,36000,32.6,0,10000
19.14,35000,37.1,0,14000
14.83,45000,33.8,0,5000
20.12,40324,20.8,0,3000
20.94,58000,36.8,0,18000
18.34,51700,29.5,0,27000
12.72,30000,13.7,0,5000
21.32,65000,12.8,0,20000
13.61,35000,63.6,0,6025
31.52,60000,69.3,1,6500
15.05,35000,39.2,0,14000
7.07,46000,28.2,0,22000
28.33,54000,6,0,6000
13.2,46000,7.3,0,40000
24.75,40000,14.5,0,20000
14.28,30000,48.3,0,10000
18.7,30037,6.4,0,12800
10.68,20000,42.2,0,6000
15.65,43400,50.9,0,7200
10.64,65000,43.6,1,15000
9.51,70000,67.7,0,20000
19.92,32000,45.2,0,15000
25.12,28000,57.4,0,16800
30.21,65000,57.1,0,16000
31.92,55000,89.2,0,32000
7.09,65000,42.6,0,12000
6.4,54000,57,0,20000
24.8,44000,23.4,0,1000
24.04,65000,67,0,22025
7.12,60000,11.7,0,6000
23.84,50000,19,1,15000
14.7,56000,70.2,1,15000
13.6,58000,56.9,0,25000
16.63,69000,73.8,0,25000
7.41,41000,24.4,0,10000
18.14,26000,9.8,0,8000
7.83,40000,26.8,0,3600
25.05,40000,58.9,0,1500
30.22,70000,22.3,0,30000
12.6,64000,30.3,0,10000
5.7,68000,37.8,0,12000
29.52,62000,73,2,16000
17.42,70000,78.7,1,12000
3.39,64000,22.4,0,25500
6.45,60000,3.7,0,6400
26.48,50000,86,0,11200
23.09,45000,62.9,0,5000
24.27,50000,6.2,0,3500
9.33,17500,29.2,0,3000
5.4,60000,19.5,0,12000
19.59,29600,30.6,0,16000
23.59,35400,92,0,10000
2.18,48000,76.4,0,7200
19.34,52000,35,0,20000
29.35,46000,41.2,0,20000
17.8,65000,28.7,0,6400
23.23,40000,26,0,14000
8.93,59000,72.5,0,13700
18.94,55000,85.1,0,8000
22.13,62100,62.9,0,5000
17.14,50000,78.4,0,10000
7.92,55000,0,0,4500
21.28,26000,52.5,0,2400
21.69,40511,0.8,0,40000
21.06,53000,92.9,0,15000
17.33,32000,36.7,0,14000
18.74,70000,81.7,0,14400
5.74,41600,36.3,0,20000
27.56,23301,20.4,0,5000
18.24,65000,61.4,0,12000
22.87,35000,15.8,0,10000
25.68,40000,44,0,8400
17.21,70000,56,0,6000
27.02,51000,18.2,0,14000
25.11,52000,13.1,0,21000
19.4,27046,32.4,0,7500
18.92,52000,21.6,0,5000
11.36,57800,19.9,0,4800
24.21,28800,25.4,3,15000
26.34,38000,37,0,19200
23.46,60000,56.4,0,15250
30.78,60000,81,0,10750
14.24,58000,54.6,1,16500
13.52,57000,47.4,1,20000
13.38,62000,12.1,0,9100
12.85,20000,47.4,0,1800
10.97,70000,40,0,10000
6.38,60000,26.7,0,40000
28.78,67000,39.1,0,27000
29.78,60000,36.1,0,10000
9.91,50000,58,0,20000
18.86,65000,70.7,1,20000
19.92,60000,70.4,0,12000
9.31,70000,61.1,0,10000
22.08,32564,85.7,0,3000
21.51,68000,44.6,0,19000
28.13,50000,17.2,0,20000
9.96,30000,0,0,1400
23.59,26000,21.1,0,15000
30.88,22000,71.9,0,35000
27.52,45000,23.6,0,8500
17.92,55500,28.2,0,7000
27.45,63000,30.4,0,16000
27.69,35500,44.2,0,6000
26.61,46000,17.3,0,19000
1.9,70000,9.2,0,36000
10.45,24000,38.7,0,8400
17.58,40000,15.1,0,3000
8.96,28000,99.2,0,2000
12.24,60000,74,0,17600
26.99,67000,32,0,20000
22.07,28000,46.5,0,10000
6.12,60000,1.6,1,2400
27.78,49296,26.6,3,13500
23.07,38500,39.6,1,10000
5.81,25000,9.6,0,2500
15.42,61000,55.5,0,7000
6.74,34000,14.9,0,4200
2.21,67828,24.7,0,40000
6.31,43000,18.6,0,6500
17.32,47000,58.4,0,6400
20.71,14550,35.2,0,6000
25.86,51000,23.3,0,5000
20.81,65000,3.7,1,15000
5.32,58670,62.1,0,10000
14.97,53000,42.2,1,5000
11.16,16890,41.9,0,2850
28.37,70000,57.6,0,9900
30.07,70000,66.6,0,16000
28.9,41736,86.1,0,7950
22.88,50000,60.9,0,20000
19.59,25000,33.5,0,10000
14.61,70000,66.9,0,35000
31.89,40000,61.4,0,10000
11.75,14400,43.8,0,2500
4.18,70000,48.1,0,12000
16.32,65000,53.1,0,8000
26.31,45767,91.9,0,15000
21.18,40000,37.7,0,10000
27.27,9240,50,0,4000
29.35,49800,42.1,0,20000
29.57,63728,38.4,0,20000
15.69,40000,76.4,0,12000
11.26,50000,9.7,0,9050
3.09,40000,60.6,0,2500
17.28,40000,15.8,2,5000
19.54,57000,54.1,1,10000
25.61,68000,49,0,17000
10.19,43680,70.8,0,20000
25.62,40000,37.2,0,17700
8.68,43000,32.1,0,5000
13.92,45600,57.8,1,36000
16.05,50616.96,44.6,0,10400
8.37,41600,80.5,0,10500
31.96,46000,49.5,0,12500
20.68,24440,77,0,3400
32.71,42000,56.7,0,11000
19.11,62000,18.7,0,8000
17.23,50000,28.5,2,5000
16.77,50000,30.5,0,5000
19.47,65000,25,0,6000
24,34303,38.3,1,19800
17.83,34000,24.3,0,12000
27.62,70000,57.8,0,20000
22.46,60000,24.6,2,9200
30.16,45000,10.9,0,15000
28.67,40000,3.9,0,3000
29.35,24000,1.5,1,16000
27.23,49000,70.1,2,16000
3.9,39999,45.8,0,9500
20.36,60000,52.6,2,4000
22.8,36000,90,0,3000
29.81,50000,47.7,0,20000
16.68,38000,27.4,0,10000
5.21,55000,74.7,0,7000
17.28,65000,66.1,0,18500
23.86,70000,81.1,0,16000
22.61,62000,91.5,0,21000
14.03,36000,18.5,1,4000
24.29,37000,54.4,0,3600
13.98,65000,64.6,0,12000
23.8,48000,77.1,0,11000
0.02,52000,0,0,4000
3.25,34000,47.9,0,5000
21.43,64000,38,0,10000
25.49,25000,58.1,0,11000
28.63,62000,30.3,0,30000
21.51,65000,4.4,0,3000
13.76,30000,22.5,0,10000
19.68,70000,49.4,0,38000
17.46,60000,2.2,0,3800
9.84,51000,4.9,0,1000
18.85,55000,62.5,0,10000
11.83,41000,5.3,0,12000
21.27,50000,62,0,10000
30.49,59000,13.7,0,20000
9.8,48000,7.6,0,16500
24.63,57000,28.6,0,20000
28.2,54000,92.1,0,6025
14.35,65000,58,0,10000
31.22,62500,4.8,0,16075
26.22,65000,66.4,0,11500
23.01,68000,24.5,1,2500
11.31,45000,28.6,0,11000
19.2,58000,60.9,0,5000
26.88,38000,48.7,0,10000
19.12,28000,53.9,0,11000
19.8,52000,45,0,15000
27.95,28000,46.9,0,3600
10.98,60000,40.2,0,12700
32.77,55000,65.7,0,20000
7.15,70000,45.4,0,8000
19.8,30000,48.3,0,14000
24.58,60000,13.2,0,10000
17.27,51960,82.4,0,21000
11.74,51000,19.6,0,20000
19.58,48000,96.8,0,10000
10.86,20000,32.9,0,12000
0.75,40000,2.2,0,10000
25.11,50000,17.7,0,10000
30.56,23400,19.5,1,9000
8.47,18000,66,0,6000
23.93,34000,56.2,0,12500
24.24,50000,22.9,0,30000
10.01,35000,47.7,0,15000
15.37,62000,62.1,0,23500
17.59,52000,33.7,0,8000
24.44,60000,10.6,0,15500
18,62000,57.5,0,25000
26.4,40000,93.9,0,10000
30.64,41560,28.6,1,16000
29.38,25000,31.2,0,8000
31.71,61000,64.5,1,20000
5.16,30000,40.1,0,1600
0.35,51000,15,0,5000
9.77,65000,23,0,11600
20.45,53000,54.4,0,20000
1.45,48000,18.7,0,14350
5.87,38000,33.5,0,1600
32,48000,5.3,0,5000
2.61,23000,34.4,0,1000
17.34,60000,70.5,0,30000
9.24,20000,83.2,0,1500
15.16,60737,69.4,0,1500
8,60000,15.5,0,13000
6.51,45000,47.7,0,17000
18.43,51250,39.6,0,13000
16.46,30624,36.5,0,8000
4.86,44000,86.4,0,6000
7.09,42000,9.8,0,8000
7.8,28000,38.4,0,2000
19.08,47000,47.9,1,9300
14.75,59900,13.6,0,7500
26.52,70000,70.6,0,5000
11.03,70000,31.8,0,6400
21.16,60000,15,0,14000
20.21,70000,8.9,0,9000
16.21,51000,53.2,0,5475
24.28,39000,51.6,0,6000
24.1,48300,98,0,12000
17.23,53500,94.1,0,20000
20.72,60000,24.7,0,6500
14.35,48000,61.3,0,8000
25.32,57831.84,83.8,0,11000
25.9,70000,42.7,0,35000
18.77,70000,28,0,22000
28.18,60000,45.9,0,10000
20.9,55000,20.1,4,8000
13.78,50000,61.4,0,11000
22.07,65000,0.9,0,18000
